timestamp,dx,dy
1744381345.5809605,-1,1
1744381345.589085,0,0
1744381345.599015,-3,1
1744381345.6051745,3,-2
1744381345.6150334,-4,0
1744381345.6232035,1,1
1744381345.6309812,-4,0
1744381345.6391323,5,0
1744381345.647184,-5,0
1744381345.655121,-8,1
1744381345.6630871,-6,0
1744381345.6710474,-4,0
1744381345.6791587,-6,0
1744381345.6869044,-6,0
1744381346,28,-1
1744381345.7031157,-8,0
1744381345.711295,16,-1
1744381345.7193823,-7,1
1744381345.7269797,6,-1
1744381345.7349956,-5,1
1744381345.7430055,8,-1
1744381345.7511733,-2,1
1744381345.759039,3,-1
1744381346.0490475,0,0
1744381346.0573604,-1,1
1744381346.0650105,-1,0
1744381346.0733407,1,-1
1744381346.0811834,-3,0
1744381346.0890923,3,0
1744381346.097217,-3,0
1744381346,0,1
1744381346.1130981,-4,0
1744381346.1209483,-7,0
1744381346.1290388,10,-1
1744381346.1369326,-5,0
1744381346.1450014,5,0
1744381346.1529875,-6,1
1744381346.1610005,7,-1
1744381346.1688614,-3,0
1744381346.1770356,6,0
1744381346.1851795,-3,0
1744381346.1931314,5,0
1744381346.2029572,-1,0
1744381346.2091477,1,0
1744381346.3232677,-1,0
1744381346.3312514,0,0
1744381346.3391514,0,0
1744381346.346922,-1,0
1744381346.354983,-1,0
1744381346.363062,3,0
1744381346.3709612,-2,0
1744381346.3790474,1,0
1744381346.3869855,-2,0
1744381346.3950186,1,0
1744381346.4030097,-4,0
1744381346.4110096,3,0
1744381346.419007,-5,-1
1744381346.427331,5,1
1744381346.4351401,-6,0
1744381346.4431653,4,0
1744381346.450998,-6,-1
1744381346.459003,5,0
1744381346.4670353,-6,-1
1744381346.4752896,7,2
1744381346.483008,-11,-2
1744381346.4910524,10,1
1744381346.499015,-7,-1
1744381346.509005,8,1
1744381346.5150478,-6,-1
1744381346.5249798,4,1
1744381346.5329583,-7,-1
1744381347,10,2
1744381346.5490906,-4,-2
1744381346.5572116,3,1
1744381346.565082,-4,-1
1744381346.5731077,4,0
1744381346.5811722,-2,-1
1744381346.5891266,3,0
1744381346.5971158,-4,-2
1744381346.605085,4,1
1744381346.612978,-6,-4
1744381346.6210966,-5,-4
1744381346.6292057,-6,-3
1744381346.6370106,-4,-3
1744381346.6451979,22,17
1744381346.6529884,-3,-3
1744381346.6611829,4,4
1744381346.6690006,-2,-1
1744381346.6770198,3,0
1744381346.6854467,-1,0
1744381346.781048,1,-1
1744381346.7889743,1,0
1744381346.7969544,-1,-3
1744381346.8052802,0,-3
1744381346.815192,-1,-4
1744381346.8209453,-1,-3
1744381346.8309546,2,8
1744381346.8390841,0,0
1744381346.846991,-3,-13
1744381346.8551605,3,13
1744381346.8630626,-2,-10
1744381346.8711865,-4,-17
1744381346.8791683,-2,-10
1744381346.8869548,-1,-4
1744381346.895022,9,42
1744381346.9029725,-1,-4
1744381346.9111516,2,7
1744381346.9190176,0,-3
1744381346.9271364,0,4
1744381346.934925,0,-2
1744381346.9430656,0,2
1744381346.950969,0,0
1744381346.9589944,-1,1
1744381346.9670067,0,0
1744381347.161085,1,1
1744381347.1689675,0,1
1744381347.1770053,0,0
1744381347.1851664,0,2
1744381347.1931355,0,-2
1744381347.2009914,0,2
1744381347.2090037,0,-2
1744381347.2170115,0,3
1744381347.2250237,1,-1
1744381347.2329519,0,2
1744381347.2412455,-1,-3
1744381347.2489965,1,1
1744381347.2573035,-1,-1
1744381347.265033,1,1
1744381347.2731278,-1,-2
1744381347,0,0
1744381347.2890723,0,0
1744381347.2971246,0,0
1744381347.3051512,0,0
1744381347.3129642,1,0
1744381347.3209531,0,1
1744381347.329055,-1,-1
1744381347.3369381,1,1
1744381347.3449883,0,-2
1744381347.3529763,0,2
1744381347.3611794,-1,-2
1744381347.3771284,1,1
1744381347.3851526,0,0
1744381347.5950246,-1,0
1744381347.6190283,0,-1
1744381347.981308,1,1
1744381348,-1,0
1744381348.0051112,0,-1
